score,time,nok,nko,groupName,userId,moduleName,nsession,date,sumscore,sumtime,sumnok,sumnko,sumnsession,day,month,year,week
8.0,12,85,25,FED 1,2660634,Les Fondamentaux Campus,1,06/09/2017,8.0,12,85,25,1,06,09,2017,36
5.0,8,71,16,FED 1,2660634,Les Fondamentaux Campus,1,09/09/2017,13.0,20,156,41,2,09,09,2017,36
7.0,11,91,27,FED 1,2660634,Les Fondamentaux Campus,1,11/09/2017,20.0,31,247,68,3,11,09,2017,37
27.0,87,379,140,FED 1,2660634,Les Fondamentaux Campus,1,19/09/2017,47.0,118,626,208,4,19,09,2017,38
7.0,15,39,8,FED 1,2660634,Pro,1,19/01/2018,54.0,133,665,216,5,19,01,2018,3
49.20000000000001,39,295,82,FED 1,2660634,Pro,1,20/03/2018,103.20000000000002,172,960,298,6,20,03,2018,12
9.0,17,57,30,FED 1,2660634,Pro,1,21/03/2018,112.20000000000002,189,1017,328,7,21,03,2018,12
44.00000000000002,101,335,129,FED 1,2660635,Les Fondamentaux Campus,1,19/09/2017,44.00000000000002,101,335,129,1,19,09,2017,38
13.280000000000005,16,114,45,FED 1,2660635,Pro,1,11/10/2017,57.28000000000002,117,449,174,2,11,10,2017,41
6.76,17,108,45,FED 1,2660635,Pro,1,23/03/2018,64.04000000000002,134,557,219,3,23,03,2018,12
1.76,6,30,17,FED 1,2660635,Pro,1,27/03/2018,65.80000000000003,140,587,236,4,27,03,2018,13
27.46,27,165,41,FED 1,2660636,Supérieur,1,11/10/2017,27.46,27,165,41,1,11,10,2017,41
49.26000000000001,62,472,212,FED 1,2660636,Supérieur,1,14/12/2017,76.72000000000001,89,637,253,2,14,12,2017,50
4.76,13,73,42,FED 1,2660636,Supérieur,1,20/03/2018,81.48000000000002,102,710,295,3,20,03,2018,12
54.0,87,490,92,FED 1,2660637,Les Fondamentaux Campus,1,11/09/2017,54.0,87,490,92,1,11,09,2017,37
104.33999999999996,192,1433,525,FED 1,2660637,Pro,1,19/09/2017,158.33999999999997,279,1923,617,2,19,09,2017,38
5.82,9,79,31,FED 1,2660637,Pont supérieur,1,06/10/2017,164.15999999999997,288,2002,648,3,06,10,2017,40
0.94,2,21,11,FED 1,2660637,Pont supérieur,1,30/11/2017,165.09999999999997,290,2023,659,4,30,11,2017,48
13.64,40,284,141,FED 1,2660637,Pont supérieur,1,21/03/2018,178.73999999999995,330,2307,800,5,21,03,2018,12
6.4,4,42,16,FED 1,2660637,Pont supérieur,1,23/03/2018,185.14,334,2349,816,6,23,03,2018,12
3.88,13,28,7,FED 1,2660638,Les Fondamentaux Campus,1,19/09/2017,3.88,13,28,7,1,19,09,2017,38
8.879999999999997,28,84,26,FED 1,2660638,Les Fondamentaux Campus,1,11/10/2017,12.759999999999998,41,112,33,2,11,10,2017,41
10.800000000000002,57,124,50,FED 1,2660638,Les Fondamentaux Campus,1,20/03/2018,23.56,98,236,83,3,20,03,2018,12
21.28,65,93,20,FED 1,2660638,Les Fondamentaux Campus,1,21/03/2018,44.84,163,329,103,4,21,03,2018,12
4.0,6,23,3,FED 1,2660640,Les Fondamentaux Campus,1,06/09/2017,4.0,6,23,3,1,06,09,2017,36
7.0,4,29,2,FED 1,2660640,Les Fondamentaux Campus,1,19/09/2017,11.0,10,52,5,2,19,09,2017,38
8.52,13,73,17,FED 1,2660640,Les Fondamentaux Campus,1,05/10/2017,19.52,23,125,22,3,05,10,2017,40
4.4,52,48,18,FED 1,2660640,Les Fondamentaux Campus,1,11/10/2017,23.92,75,173,40,4,11,10,2017,41
6.64,6,43,15,FED 1,2660640,Les Fondamentaux Campus,1,07/03/2018,30.56,81,216,55,5,07,03,2018,10
1.88,3,8,2,FED 1,2660641,Les Fondamentaux Campus,1,19/09/2017,1.88,3,8,2,1,19,09,2017,38
1.76,5,16,5,FED 1,2660641,Les Fondamentaux Campus,1,05/10/2017,3.64,8,24,7,2,05,10,2017,40
3.64,9,33,25,FED 1,2660641,Les Fondamentaux Campus,1,11/10/2017,7.2799999999999985,17,57,32,3,11,10,2017,41
11.040000000000004,99,154,87,FED 1,2660641,Les Fondamentaux Campus,1,20/03/2018,18.32,116,211,119,4,20,03,2018,12
1.88,33,22,33,FED 1,2660641,Les Fondamentaux Campus,1,21/03/2018,20.2,149,233,152,5,21,03,2018,12
3.94,15,34,25,FED 1,2660642,Les Fondamentaux Campus,1,06/09/2017,3.94,15,34,25,1,06,09,2017,36
3.82,18,87,47,FED 1,2660642,Les Fondamentaux Campus,1,11/09/2017,7.76,33,121,72,2,11,09,2017,37
11.759999999999998,31,166,67,FED 1,2660642,Les Fondamentaux Campus,1,11/10/2017,19.52,64,287,139,3,11,10,2017,41
11.64,40,219,113,FED 1,2660642,Les Fondamentaux Campus,1,20/12/2017,31.16,104,506,252,4,20,12,2017,51
14.88,75,140,62,FED 1,2660642,Les Fondamentaux Campus,1,21/12/2017,46.03999999999999,179,646,314,5,21,12,2017,51
16.400000000000002,7,62,16,FED 1,2660642,Pro,1,26/04/2018,62.44,186,708,330,6,26,04,2018,17
1.0,1,3,0,FED 1,2660643,Les Fondamentaux Campus,1,06/09/2017,1.0,1,3,0,1,06,09,2017,36
6.639999999999999,42,192,93,FED 1,2660643,Les Fondamentaux Campus,1,21/09/2017,7.639999999999999,43,195,93,2,21,09,2017,38
7.579999999999999,22,86,37,FED 1,2660643,Les Fondamentaux Campus,1,11/10/2017,15.22,65,281,130,3,11,10,2017,41
3.88,7,20,8,FED 1,2660643,Les Fondamentaux Campus,1,21/03/2018,19.1,72,301,138,4,21,03,2018,12
19.16,69,148,44,FED 1,2660644,Les Fondamentaux Campus,1,05/10/2017,19.16,69,148,44,1,05,10,2017,40
4.64,26,44,26,FED 1,2660644,Les Fondamentaux Campus,1,21/03/2018,23.8,95,192,70,2,21,03,2018,12
6.52,9,34,6,FED 1,2660644,Les Fondamentaux Campus,1,27/03/2018,30.32,104,226,76,3,27,03,2018,13
7.639999999999999,20,121,51,FED 1,2660645,Les Fondamentaux Campus,1,19/09/2017,7.639999999999999,20,121,51,1,19,09,2017,38
4.88,32,89,28,FED 1,2660645,Les Fondamentaux Campus,1,05/10/2017,12.52,52,210,79,2,05,10,2017,40
4.52,11,129,49,FED 1,2660645,Les Fondamentaux Campus,1,11/10/2017,17.04,63,339,128,3,11,10,2017,41
18.98,46,196,76,FED 1,2660646,Les Fondamentaux Campus,1,19/09/2017,18.98,46,196,76,1,19,09,2017,38
11.04,59,102,66,FED 1,2660646,Les Fondamentaux Campus,1,20/03/2018,30.02,105,298,142,2,20,03,2018,12
7.76,14,40,13,FED 1,2660646,Les Fondamentaux Campus,1,21/03/2018,37.78,119,338,155,3,21,03,2018,12
0.0,0,0,1,FED 1,2660646,Les Fondamentaux Campus,1,27/03/2018,37.78,119,338,156,4,27,03,2018,13
3.88,9,46,17,FED 1,2660647,Les Fondamentaux Campus,1,19/09/2017,3.88,9,46,17,1,19,09,2017,38
3.94,9,50,17,FED 1,2660647,Les Fondamentaux Campus,1,23/09/2017,7.82,18,96,34,2,23,09,2017,38
11.7,23,123,33,FED 1,2660647,Les Fondamentaux Campus,1,11/10/2017,19.52,41,219,67,3,11,10,2017,41
4.76,45,189,152,FED 1,2660647,Les Fondamentaux Campus,1,07/12/2017,24.28,86,408,219,4,07,12,2017,49
6.94,10,67,19,FED 1,2660647,Les Fondamentaux Campus,1,23/01/2018,31.22,96,475,238,5,23,01,2018,4
14.82,28,128,30,FED 1,2660647,Les Fondamentaux Campus,1,01/03/2018,46.04,124,603,268,6,01,03,2018,9
14.52,23,101,27,FED 1,2660647,Pro,1,20/03/2018,60.56,147,704,295,7,20,03,2018,12
7.64,30,97,55,FED 1,2660647,Pro,1,21/03/2018,68.2,177,801,350,8,21,03,2018,12
8.76,23,94,59,FED 1,2660647,Pro,1,27/03/2018,76.96000000000002,200,895,409,9,27,03,2018,13
19.76,26,108,22,FED 1,2753513,Les Fondamentaux Campus,1,11/10/2017,19.76,26,108,22,1,11,10,2017,41
4.58,24,52,33,FED 1,2753513,Les Fondamentaux Campus,1,22/12/2017,24.34,50,160,55,2,22,12,2017,51
21.4,29,89,16,FED 1,2753513,Les Fondamentaux Campus,1,19/01/2018,45.74,79,249,71,3,19,01,2018,3
3.0,7,36,9,FED 1,2753518,Les Fondamentaux Campus,1,30/11/2017,3.0,7,36,9,1,30,11,2017,48
43.040000000000006,54,273,52,FED 1,2753518,Les Fondamentaux Campus,1,21/03/2018,46.040000000000006,61,309,61,2,21,03,2018,12
12.639999999999995,39,196,84,FED 1,2753542,Les Fondamentaux Campus,1,11/10/2017,12.639999999999995,39,196,84,1,11,10,2017,41
6.82,66,154,67,FED 1,2753542,Les Fondamentaux Campus,1,16/12/2017,19.46,105,350,151,2,16,12,2017,50
19.58,48,210,96,FED 1,2753542,Les Fondamentaux Campus,1,17/12/2017,39.03999999999999,153,560,247,3,17,12,2017,50
6.8199999999999985,49,119,43,FED 1,2753542,Les Fondamentaux Campus,1,20/03/2018,45.85999999999999,202,679,290,4,20,03,2018,12
13.640000000000002,28,137,60,FED 1,2753542,Pro,1,21/03/2018,59.49999999999999,230,816,350,5,21,03,2018,12
14.0,4,52,2,,3053535,Supérieur,1,22/11/2017,14.0,4,52,2,1,22,11,2017,47
14.0,17,88,14,,3053535,Supérieur,1,06/12/2017,28.0,21,140,16,2,06,12,2017,49
37.58,21,173,20,,3053535,Supérieur,1,12/12/2017,65.58,42,313,36,3,12,12,2017,50
4.0,2,14,1,,3053535,Supérieur,1,17/12/2017,69.58,44,327,37,4,17,12,2017,50
13.76,8,55,6,,3053535,Supérieur,1,22/12/2017,83.34,52,382,43,5,22,12,2017,51
39.4,28,159,26,,3053535,Supérieur,1,24/12/2017,122.74,80,541,69,6,24,12,2017,51
47.0,191,1078,218,AM 1,3118070,Les Fondamentaux Campus,1,11/12/2017,47.0,191,1078,218,1,11,12,2017,50
27.700000000000006,60,295,102,AM 1,3118070,Pro,1,18/12/2017,74.7,251,1373,320,2,18,12,2017,51
34.88,78,475,148,AM 1,3118070,Pro,1,19/12/2017,109.58,329,1848,468,3,19,12,2017,51
14.0,85,281,110,AM 1,3118070,Pro,1,23/01/2018,123.58,414,2129,578,4,23,01,2018,4
54.56,140,622,201,AM 1,3118070,Pro,1,06/02/2018,178.14,554,2751,779,5,06,02,2018,6
30.22000000000001,54,361,124,AM 1,3118070,Pont supérieur,1,06/03/2018,208.36,608,3112,903,6,06,03,2018,10
18.68,30,156,79,AM 1,3118082,Les Fondamentaux Campus,1,27/03/2018,18.68,30,156,79,1,27,03,2018,13
1.0,3,5,1,AM 1,3118083,Les Fondamentaux Campus,1,11/12/2017,1.0,3,5,1,1,11,12,2017,50
7.16,29,87,46,AM 1,3134983,Les Fondamentaux Campus,1,15/12/2017,7.16,29,87,46,1,15,12,2017,50
36.24000000000001,60,266,105,AM 1,3134983,Les Fondamentaux Campus,1,19/12/2017,43.40000000000001,89,353,151,2,19,12,2017,51
12.88,22,85,19,AM 1,3134988,Les Fondamentaux Campus,1,23/01/2018,12.88,22,85,19,1,23,01,2018,4
18.76,58,207,64,AM 1,3134988,Les Fondamentaux Campus,1,27/03/2018,31.64,80,292,83,2,27,03,2018,13
7.2799999999999985,7,36,9,AM 1,3134988,Les Fondamentaux Campus,1,29/03/2018,38.92,87,328,92,3,29,03,2018,13
0.0,2,2,3,AM 1,3134988,Les Fondamentaux Campus,1,02/04/2018,38.92,89,330,95,4,02,04,2018,14
0.0,3,3,2,AM 1,3134988,Les Fondamentaux Campus,1,03/04/2018,38.92,92,333,97,5,03,04,2018,14
12.759999999999998,44,113,25,AM 1,3134992,Les Fondamentaux Campus,1,11/12/2017,12.759999999999998,44,113,25,1,11,12,2017,50
32.379999999999995,199,328,138,AM 1,3134992,Les Fondamentaux Campus,1,18/12/2017,45.13999999999999,243,441,163,2,18,12,2017,51
4.0,16,36,21,AM 1,3134993,Les Fondamentaux Campus,1,19/12/2017,4.0,16,36,21,1,19,12,2017,51
56.94,102,695,192,AM 1,3134993,Les Fondamentaux Campus,1,23/01/2018,60.94,118,731,213,2,23,01,2018,4
41.57999999999999,59,413,136,AM 1,3134993,Pro,1,30/01/2018,102.51999999999998,177,1144,349,3,30,01,2018,5
56.31999999999998,165,1033,502,AM 1,3134993,Pro,1,06/02/2018,158.83999999999997,342,2177,851,4,06,02,2018,6
18.16,70,489,283,AM 1,3134993,Pont supérieur,1,27/02/2018,176.99999999999997,412,2666,1134,5,27,02,2018,9
28.119999999999994,79,479,257,AM 1,3134993,Pont supérieur,1,06/03/2018,205.12,491,3145,1391,6,06,03,2018,10
13.76,40,176,75,AM 1,3134997,Supérieur,1,15/12/2017,13.76,40,176,75,1,15,12,2017,50
13.82,85,173,91,AM 1,3134997,Supérieur,1,19/12/2017,27.58,125,349,166,2,19,12,2017,51
27.460000000000004,181,508,306,AM 1,3134997,Supérieur,1,23/01/2018,55.040000000000006,306,857,472,3,23,01,2018,4
13.28,53,231,129,AM 1,3134997,Supérieur,1,06/02/2018,68.32000000000001,359,1088,601,4,06,02,2018,6
55.88,65,340,57,AM 1,3135002,Supérieur,1,11/12/2017,55.88,65,340,57,1,11,12,2017,50
13.64,29,122,36,AM 1,3135002,Supérieur,1,15/12/2017,69.52,94,462,93,2,15,12,2017,50
13.94,38,119,27,AM 1,3135002,Supérieur,1,09/01/2018,83.46,132,581,120,3,09,01,2018,2
13.579999999999998,56,141,40,AM 1,3135002,Supérieur,1,16/01/2018,97.04,188,722,160,4,16,01,2018,3
14.759999999999998,207,237,73,AM 1,3135002,Supérieur,1,23/01/2018,111.79999999999998,395,959,233,5,23,01,2018,4
19.64,179,253,106,AM 1,3135002,Supérieur,1,06/02/2018,131.44,574,1212,339,6,06,02,2018,6
6.82,55,98,54,AM 1,3135002,Supérieur,1,06/03/2018,138.26,629,1310,393,7,06,03,2018,10
0.0,1,3,5,AM 1,3135002,Orthotypographie,1,20/03/2018,138.26,630,1313,398,8,20,03,2018,12
41.64,33,141,10,AM 1,3135034,Supérieur,1,18/12/2017,41.64,33,141,10,1,18,12,2017,51
42.56,49,195,51,AM 1,3135034,Supérieur,1,19/12/2017,84.2,82,336,61,2,19,12,2017,51
1.0,0,3,1,AM 1,3135034,Supérieur,1,27/03/2018,85.2,82,339,62,3,27,03,2018,13
0.0,4,3,2,AM 1,3135041,Les Fondamentaux Campus,1,27/03/2018,0.0,4,3,2,1,27,03,2018,13
3.76,7,29,8,AM 1,3135049,Les Fondamentaux Campus,1,19/12/2017,3.76,7,29,8,1,19,12,2017,51
34.080000000000005,50,207,72,AM 1,3135049,Les Fondamentaux Campus,1,06/03/2018,37.84,57,236,80,2,06,03,2018,10
19.04,115,326,183,AM 1,3135063,Les Fondamentaux Campus,1,18/12/2017,19.04,115,326,183,1,18,12,2017,51
2.76,43,80,79,AM 1,3135063,Les Fondamentaux Campus,1,27/03/2018,21.8,158,406,262,2,27,03,2018,13
12.88,15,76,15,AM 1,3135069,Les Fondamentaux Campus,1,15/12/2017,12.88,15,76,15,1,15,12,2017,50
18.88,29,118,30,AM 1,3135069,Les Fondamentaux Campus,1,19/12/2017,31.76,44,194,45,2,19,12,2017,51
14.759999999999998,18,82,12,AM 1,3135069,Les Fondamentaux Campus,1,16/01/2018,46.52,62,276,57,3,16,01,2018,3
2.0,0,2,0,AM 1,3135069,Pro,1,29/03/2018,48.52,62,278,57,4,29,03,2018,13
19.4,83,200,58,AM 1,3135071,Les Fondamentaux Campus,1,23/01/2018,19.4,83,200,58,1,23,01,2018,4
11.16,14,76,21,AM 1,3135071,Les Fondamentaux Campus,1,06/03/2018,30.56,97,276,79,2,06,03,2018,10
35.040000000000006,26,156,25,AM 1,3135071,Les Fondamentaux Campus,1,27/03/2018,65.60000000000001,123,432,104,3,27,03,2018,13
0.0,1,2,2,AM 1,3135071,Pro,1,29/03/2018,65.60000000000001,124,434,106,4,29,03,2018,13
20.2,46,169,67,AM 1,3135075,Les Fondamentaux Campus,1,27/03/2018,20.2,46,169,67,1,27,03,2018,13
45.08000000000001,74,261,85,AM 1,3135076,Les Fondamentaux Campus,1,18/12/2017,45.08000000000001,74,261,85,1,18,12,2017,51
48.88000000000002,28,242,61,AM 1,3135076,Pro,1,19/12/2017,93.96000000000002,102,503,146,2,19,12,2017,51
0.88,3,7,2,AM 1,3135079,Les Fondamentaux Campus,1,18/12/2017,0.88,3,7,2,1,18,12,2017,51
37.28,48,383,154,AM 1,3135079,Les Fondamentaux Campus,1,27/03/2018,38.16,51,390,156,2,27,03,2018,13
1.0,49,3,0,AM 1,3135625,Les Fondamentaux Campus,1,19/12/2017,1.0,49,3,0,1,19,12,2017,51
2.0,4,7,5,AM 1,3135625,Les Fondamentaux Campus,1,27/03/2018,3.0,53,10,5,2,27,03,2018,13
12.64,35,133,41,AM 1,3135636,Les Fondamentaux Campus,1,11/12/2017,12.64,35,133,41,1,11,12,2017,50
6.2799999999999985,16,62,34,AM 1,3135636,Les Fondamentaux Campus,1,23/01/2018,18.92,51,195,75,2,23,01,2018,4
11.160000000000002,17,77,20,AM 1,3135636,Les Fondamentaux Campus,1,27/03/2018,30.08,68,272,95,3,27,03,2018,13
23.5,167,273,136,AM 1,3135643,Les Fondamentaux Campus,1,18/12/2017,23.5,167,273,136,1,18,12,2017,51
20.08,130,215,126,AM 1,3135643,Les Fondamentaux Campus,1,19/12/2017,43.58,297,488,262,2,19,12,2017,51
4.0,182,40,16,AM 1,3135646,Les Fondamentaux Campus,1,11/12/2017,4.0,182,40,16,1,11,12,2017,50
15.580000000000002,30,91,17,AM 1,3135646,Les Fondamentaux Campus,1,06/03/2018,19.58,212,131,33,2,06,03,2018,10
2.64,117,57,58,AM 1,3135646,Les Fondamentaux Campus,1,27/03/2018,22.22,329,188,91,3,27,03,2018,13
10.76,19,51,17,AM 1,3135649,Supérieur,1,27/03/2018,10.76,19,51,17,1,27,03,2018,13
12.160000000000002,12,65,15,AM 1,3135652,Les Fondamentaux Campus,1,18/12/2017,12.160000000000002,12,65,15,1,18,12,2017,51
6.4,171,45,25,AM 1,3135652,Les Fondamentaux Campus,1,19/12/2017,18.56,183,110,40,2,19,12,2017,51
41.7,79,351,79,AM 1,3135659,Supérieur,1,11/12/2017,41.7,79,351,79,1,11,12,2017,50
13.88,169,196,61,AM 1,3135659,Supérieur,1,28/12/2017,55.58,248,547,140,2,28,12,2017,52
13.4,9,76,23,AM 1,3135659,Supérieur,1,24/02/2018,68.98,257,623,163,3,24,02,2018,8
22.520000000000003,59,143,64,AM 1,3135659,Supérieur,1,27/03/2018,91.5,316,766,227,4,27,03,2018,13
26.68,20,143,30,CI 1,3166778,Supérieur,1,25/12/2017,26.68,20,143,30,1,25,12,2017,52
26.92,14,109,17,CI 1,3166778,Supérieur,1,27/12/2017,53.6,34,252,47,2,27,12,2017,52
7.28,30,77,40,FED 1,3168679,Les Fondamentaux Campus,1,21/03/2018,7.28,30,77,40,1,21,03,2018,12
4.88,6,23,4,FED 1,3168679,Les Fondamentaux Campus,1,27/03/2018,12.16,36,100,44,2,27,03,2018,13
